DATE,mac_dl_cqi,mac_dl_mcs,mac_dl_ok,mac_dl_nok,mac_dl_brate,ue_ident
2022-01-01 00:00:00.241,7,7,62,3,3939111,2105
2022-01-01 00:00:00.242,7,7,59,4,3821932,2105
2022-01-01 00:00:00.243,7,7,54,3,3239111,2105
2022-01-01 00:00:00.244,7,7,71,3,4776000,2105
2022-01-01 00:00:00.245,6,6,59,2,3390844,2105
2022-01-01 00:00:00.246,6,8,59,2,4063730,2105
2022-01-01 00:00:00.247,7,10,53,3,4566769,2105
2022-01-01 00:00:00.248,7,9,50,2,3979733,2105
2022-01-01 00:00:00.249,7,8,72,5,5268622,2105
2022-01-01 00:00:00.250,6,6,65,4,3625617,2105
2022-01-01 00:00:00.251,7,7,66,4,4275733,2105
2022-01-01 00:00:00.252,7,7,69,6,4344879,2105
2022-01-01 00:00:00.253,6,5,74,1,3876711,2105
2022-01-01 00:00:00.254,6,5,73,4,3631377,2105
2022-01-01 00:00:00.255,7,6,58,3,3276404,2105
2022-01-01 00:00:00.256,7,7,63,7,4095208,2105
2022-01-01 00:00:00.257,6,4,63,0,2860088,2105
2022-01-01 00:00:00.258,6,7,77,5,5194400,2105
2022-01-01 00:00:00.259,6,6,87,2,5139685,2105
2022-01-01 00:00:00.260,6,6,89,2,5405450,2105
2022-01-01 00:00:00.261,7,9,74,6,5078755,2105
2022-01-01 00:00:00.262,6,5,72,5,3653866,2105
2022-01-01 00:00:00.263,7,7,62,4,3615460,2105
2022-01-01 00:00:00.264,6,6,60,3,3389538,2105
2022-01-01 00:00:00.265,7,8,61,7,4106044,2105
2022-01-01 00:00:00.266,6,5,62,2,3117066,2105
2022-01-01 00:00:00.267,7,6,59,1,3149033,2105
2022-01-01 00:00:00.268,7,8,68,2,4948483,2105
2022-01-01 00:00:00.269,7,9,55,3,4220314,2105
2022-01-01 00:00:00.270,6,9,65,5,5022769,2105
2022-01-01 00:00:00.271,7,6,72,3,3978133,2105
2022-01-01 00:00:00.272,7,7,61,5,4124853,2105
2022-01-01 00:00:00.273,6,5,50,1,2671824,2105
2022-01-01 00:00:00.274,7,8,55,8,3784977,2105
2022-01-01 00:00:00.275,6,5,67,2,3860943,2105
2022-01-01 00:00:00.276,6,5,63,4,3292266,2105
2022-01-01 00:00:00.277,6,4,54,0,2129406,2105
2022-01-01 00:00:00.278,7,6,62,4,3390755,2105
2022-01-01 00:00:00.279,6,5,69,4,3478311,2105
2022-01-01 00:00:00.280,6,5,71,3,3534400,2105
2022-01-01 00:00:00.281,6,5,59,6,2672177,2105
2022-01-01 00:00:00.282,7,6,47,0,2886844,2105
2022-01-01 00:00:00.283,7,8,40,2,2560533,2105
2022-01-01 00:00:00.284,6,6,54,2,3056177,2105
2022-01-01 00:00:00.285,7,7,58,2,3321955,2105
2022-01-01 00:00:00.286,6,6,66,6,3859911,2105
2022-01-01 00:00:00.287,7,6,65,2,3929155,2105
2022-01-01 00:00:00.288,6,5,60,2,2833422,2105
2022-01-01 00:00:00.289,7,8,58,6,3953955,2105
2022-01-01 00:00:00.290,7,6,74,3,4226933,2105
2022-01-01 00:00:00.291,6,7,66,0,4096177,2105
2022-01-01 00:00:00.292,7,8,56,6,3967288,2105
2022-01-01 00:00:00.293,6,6,45,2,2128533,2105
2022-01-01 00:00:00.294,7,6,62,4,3951640,2105
2022-01-01 00:00:00.295,7,7,45,3,2840351,2105
2022-01-01 00:00:00.296,6,6,56,4,3784622,2105
2022-01-01 00:00:00.297,6,4,88,0,3748444,2105
2022-01-01 00:00:00.298,6,6,84,6,5260088,2105
2022-01-01 00:00:00.299,7,7,68,3,4413866,2105
2022-01-01 00:00:00.300,7,7,64,3,4332355,2105
2022-01-01 00:00:00.301,7,8,63,3,4306577,2105
2022-01-01 00:00:00.302,7,7,70,4,4915555,2105
2022-01-01 00:00:00.303,8,9,60,5,4951466,2105
2022-01-01 00:00:00.304,6,6,67,7,4365688,2105
2022-01-01 00:00:00.305,6,5,73,1,2904711,2105
2022-01-01 00:00:00.306,6,5,89,1,4740533,2105
2022-01-01 00:00:00.307,7,7,82,6,5897168,2105
2022-01-01 00:00:00.308,6,6,87,3,5284131,2105
2022-01-01 00:00:00.309,6,7,82,4,5444622,2105
2022-01-01 00:00:00.310,6,6,85,4,5071377,2105
2022-01-01 00:00:00.311,6,6,89,1,5977333,2105
2022-01-01 00:00:00.312,6,6,86,4,5775822,2105
2022-01-01 00:00:00.313,6,8,85,5,6384088,2105
2022-01-01 00:00:00.314,6,7,85,5,6031555,2105
2022-01-01 00:00:00.315,6,6,90,0,6044977,2105
2022-01-01 00:00:00.316,6,6,84,6,5624355,2105
